length_sku_key,current_bucket,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
lookup error,lookup error,25.4,1.6,5270.0,5.27,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,0.0,2.504,"state bucket key, grade, cut type, then assign bucket",,,,
22.23-0-2-5.951-ERW 1-NFC,22.23-0-2-ERW 1-PE,22.23,2,5951.0,5.951,ERW 1,Non fin cut,3905466,056,,,Yes,159.0,57.975,complete,,,,
57.15-0-2.5-6.1-ERW 1-FC,57.15-0-2.5-ERW 1-FC,57.15,2.5,6100.0,6.1,ERW 1,Fin cut,3910001,"056, 0789",,,Yes,118.0,18.272,complete,,,,
38.1-0-2.5-6.19-ERW 2 MAHS-FC,38.1-0-2.5-ERW 2 MAHS-FC,38.1,2.5,6190.0,6.19,ERW 2,Fin cut,3502007,056,,,Yes,97.0,99.859,complete,,,,
41.28-0-3.2-5.94-ERW 1-FC,41.28-0-3.2-ERW 1-FC,41.28,3.15,5940.0,5.94,ERW 1,Fin cut,"3597050, 3673889","056, 0789",,,Yes,87.0,0.0,complete,,,,
41.28-0-2.6-6-ERW 1-FC,41.28-0-2.6-ERW 1-FC,41.28,2.6,6000.0,6.0,ERW 1,Fin cut,"3501716, 3994149","056, 0789",,,Yes,85.0,0.0,complete,,,,
38.1-0-1.6-6.19-ERW 2 MAHS-FC,38.1-0-1.6-ERW 2 MAHS-FC,38.1,1.6,6190.0,6.19,ERW 2,Fin cut,3502254,056,,,Yes,64.0,17.661,complete,,,,
22.23-0-2-6-ERW 2-FC,22.23-0-2-ERW 2-FC,22.23,2,6000.0,6.0,ERW 2,Fin cut,"3410966, 3502494","056, 0789",,,Yes,60.0,20.02,complete,,,,
25.4-0-2.5-5.53-ERW 1-FC,25.4-0-2.5-ERW 1-FC,25.4,2.5,5530.0,5.53,ERW 1,Fin cut,3502256,"056, 0789",,,Yes,56.0,44.168,complete,,,,
22.23-0-1.6-5.264-ERW 1-NFC,22.23-0-1.6-ERW 1-PE,22.23,1.6,5264.0,5.264,ERW 1,Non fin cut,3501116,056,,,Yes,55.0,3.393,complete,,,,
22.23-0-1.6-5.67-ERW 1-NFC,22.23-0-1.6-ERW 1-PE,22.23,1.6,5670.0,5.67,ERW 1,Non fin cut,"3954021, 4055022","056, 0789",,,Yes,50.0,20.947,complete,,,,
19.05-0-2-5.841-ERW 1-NFC,19.05-0-2-ERW 1-PE,19.05,2,5841.0,5.841,ERW 1,Non fin cut,3673888,056,,,Yes,48.0,0.0,complete,,,,
60.3-0-2-6-ERW 1-FC,60.3-0-2-ERW 1-FC,60.3,2,6000.0,6.0,ERW 1,Fin cut,3702875,"056, 0788",,,Yes,39.0,9.714,complete,,,,
42.7-0-4-5.5-ERW 1-FC,42.7-0-4-ERW 1-FC,42.7,4,5500.0,5.5,ERW 1,Fin cut,3500714,0788,,,Yes,38.0,31.747,complete,,,,
